#       time        depth temperature sp_upper sp_lower plate_edge adiabatic_temperature adiabatic_pressure adiabatic_density adiabatic_density_derivative velocity_magnitude sinking_velocity rising_velocity viscosity log_viscosity vertical_heat_flux vertical_mass_flux sp_upper_mass sp_lower_mass plate_edge_mass
           0   1.7051e+06      2394.63            0            0            0      2394.63  6.11056e+10      3771.97  2.76249e-05            0            0            0  3.28673e+22      22.5168   0.00278262            0            0            0            0
           0   1.7629e+06      2430.44            0            0            0      2430.44  6.33639e+10      3771.95 -5.13523e-08            0            0            0  3.24996e+22      22.5119   0.00282597            0            0            0            0
           0   1.8207e+06      2466.95            0            0            0      2466.81  6.56239e+10       3771.9 -1.09343e-07            0            0            0  3.18602e+22      22.5032   0.00288221            0            0            0            0
           0   1.8785e+06      2499.77            0            0            0      2500.04  6.76601e+10      3771.88 -1.39507e-07            0            0            0   3.1184e+22      22.4939   0.00281366            0            0            0            0
           0   1.9363e+06      2532.58            0            0            0      2533.77  6.96985e+10      3771.97  1.47423e-05            0            0            0  3.06344e+22      22.4862   0.00298333            0            0            0            0
           0   1.9941e+06      2571.82            0            0            0      2571.81  7.19662e+10      3771.92  -2.9816e-05            0            0            0  2.96365e+22      22.4718   0.00306112            0            0            0            0
           0   2.0519e+06      2610.55            0            0            0       2610.5  7.42379e+10      3771.87 -3.05404e-05            0            0            0  2.88348e+22      22.4599    0.0030382            0            0            0            0
           0   2.1097e+06      2649.85            0            0            0      2649.85  7.65142e+10       3771.9  -7.5788e-08            0            0            0  2.78115e+22      22.4442   0.00310795            0            0            0            0
           0   2.1675e+06      2685.83            0            0            0      2685.83  7.85669e+10      3771.92  1.97024e-05            0            0            0   2.6793e+22       22.428   0.00315586            0            0            0            0
           0   2.2253e+06      2722.41            0            0            0      2722.41  8.06243e+10      3771.87  4.18245e-08            0            0            0  2.57366e+22      22.4105    0.0032076            0            0            0            0
           0   2.2831e+06      2763.74            0            0            0      2763.74   8.2917e+10       3771.9   -1.136e-07            0            0            0  2.45057e+22      22.3892   0.00326604            0            0            0            0
           0   2.3409e+06      2805.83            0            0            0      2805.83  8.52167e+10      3771.88  1.63957e-05            0            0            0  2.32535e+22      22.3664   0.00332677            0            0            0            0
           0   2.3987e+06      2848.71            0            0            0      2848.71  8.75241e+10      3771.86  1.59997e-08            0            0            0  2.19705e+22      22.3418    0.0033895            0            0            0            0
           0   2.4565e+06         2888            0            0            0         2888  8.96089e+10      3771.87  -2.1401e-05            0            0            0  2.08202e+22      22.3184   0.00345074            0            0            0            0
           0   2.5143e+06      2928.03            0            0            0      2928.03  9.17025e+10      3771.85  -1.7449e-05            0            0            0  1.96579e+22      22.2935   0.00351204            0            0            0            0
           0   2.5721e+06      2973.33            0            0            0      2973.33  9.40385e+10      3771.86 -1.78486e-05            0            0            0  1.83893e+22      22.2645   0.00358388            0            0            0            0
           0   2.6299e+06      3019.58            0            0            0      3019.58  9.63866e+10      3771.85 -9.13273e-06            0            0            0  1.71289e+22      22.2336   0.00365985            0            0            0            0
           0   2.6877e+06      3064.43            0            0            0      3064.43    9.863e+10      3771.83 -1.01686e-05            0            0            0  1.59578e+22      22.2029    0.0037353            0            0            0            0
           0   2.7455e+06      3110.22            0            0            0      3110.22  1.00886e+11      3771.83 -4.66463e-06            0            0            0  1.48225e+22      22.1708   0.00381306            0            0            0            0
           0   2.8033e+06      3158.22            0            0            0      3158.22  1.03217e+11      3771.83  5.03917e-06            0            0            0  1.36929e+22      22.1364   0.00389921            0            0            0            0
           0   2.8611e+06      3099.21            0            0            0      3206.05  1.05504e+11      3771.84  5.85791e-09            0            0            0   1.4589e+23      22.3606   -0.0974262            0            0            0            0
           0        28900      907.262    0.0316222     0.109023    0.0130315      1584.02  9.27911e+08      3299.95 -2.09587e-06            0            0            0  6.50361e+22      22.1115    0.0770084            0      98.9103      358.152      43.0299
           0        86700      1509.79  0.000879041    0.0169646    0.0132782      1606.37   2.7935e+09      3299.94 -3.22454e-08            0            0            0  2.03951e+21      19.8481     0.018481            0      2.76594      55.5278      43.8235
           0       144500      1623.02  0.000587878   0.00237911    0.0124806       1629.6  4.70392e+09      3299.93 -1.50089e-06            0            0            0  1.76897e+21       19.627   0.00276306            0      1.93334      7.86605      41.1865
           0       202300      1649.68  0.000339738   0.00173498   0.00593478       1652.7  6.57772e+09      3299.95  6.47799e-06            0            0            0  1.73324e+21       19.805   0.00169061            0      1.21143      5.74944       19.585
           0       260100      1674.76            0  -1.7497e-06            0      1676.08  8.44744e+09      3299.93  3.04638e-06            0            0            0  1.57347e+20      19.9802   0.00183646            0            0  -0.00585101            0
           0       317900      1700.69            0            0            0      1700.76  1.03933e+10      3299.94 -3.30642e-08            0            0            0  1.44029e+20      20.1555   0.00175546            0            0            0            0
           0       375700      1724.91            0            0            0      1724.91  1.22701e+10      3299.95  4.06128e-06            0            0            0  2.09603e+20      20.3192    0.0017568            0            0            0            0
